Concurrency,Service Workload (message_size) Bytes,Heap Size (MB),Garbage Collector,Average latency (ms),max_latency (ms),per90_latency  (ms),per95_latency  (ms),per99_latency  (ms),per999_latency  (ms),tail_index
100,1024,500,UseConcMarkSweepGC,6.490676491,147,11,16,48,100,-1.425798217
100,1024,500,UseG1GC,6.815411815,135,12,17,48,97,-1.464484276
100,1024,500,UseParallelGC,6.222530223,175,11,15,40,90,-1.623958624
100,1024,500,UseSerialGC,6.447732448,176,11,16,49,93,-1.390923644
100,1024,1024,UseConcMarkSweepGC,6.415831416,144,11,16,42,92,-1.592343732
100,1024,1024,UseG1GC,6.831591832,163,12,17,46,100,-1.463907123
100,1024,1024,UseParallelGC,6.017942018,201,10,15,38,94,-1.676719159
100,1024,1024,UseSerialGC,6.186481186,169,10,15,43,89,-1.466958958
100,1024,4096,UseConcMarkSweepGC,6.449099449,160,10,15,26,76,-2.145174827
100,1024,4096,UseG1GC,6.74975875,129,10,13,24,67,-2.537453196
100,1024,4096,UseParallelGC,6.003159003,125,9,12,21,70,-2.820734313
100,1024,4096,UseSerialGC,6.202122202,173,9,12,22,99,-2.661927827
100,10240,200,UseConcMarkSweepGC,10.3029513,196,18,26,56,112,-2.010876121
100,10240,200,UseG1GC,10.51210451,176,19,27,57,116,-2.05401295
100,10240,200,UseParallelGC,9.98006498,204,18,26,61,119,-1.756000151
100,10240,200,UseSerialGC,9.872101872,159,17,25,51,91,-2.023627601
100,10240,500,UseConcMarkSweepGC,9.602501603,164,17,25,55,105,-1.905823805
100,10240,500,UseG1GC,10.21734722,190,18,25,51,109,-2.133113538
100,10240,500,UseParallelGC,9.416172416,221,17,25,56,107,-1.860940713
100,10240,500,UseSerialGC,9.649153649,211,17,25,51,98,-2.044672405
100,10240,1024,UseConcMarkSweepGC,10.32113832,221,18,26,55,111,-2.045974751
100,10240,1024,UseG1GC,9.934229934,175,17,24,49,104,-2.154243289
100,10240,1024,UseParallelGC,9.508099508,169,17,25,52,100,-1.920405912
100,10240,1024,UseSerialGC,9.51005951,160,17,26,54,98,-1.892078951
100,10240,4096,UseConcMarkSweepGC,10.91216991,232,22,30,64,131,-2.074156137
