Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (ms),per50_latency (ms),per90_latency (ms),per95_latency (ms),per98_latency (ms),per99_latency (ms),per99.5_latency (ms),per99.9_latency (ms),per99.95_latency (ms),per99.99_latency (ms)
50,7919,1g,UseG1GC,0.0029088,0.00305245,0.0035545,0.003633275,0.00373855,0.004000795,0.0161682875,0.038176997,0.045177939,0.04716953445
50,7919,1g,UseParallelGC,0.0020268,0.0021236,0.0022916,0.002341715,0.002483524,0.002724805,0.0029256635,0.0143918926,0.0191583499,0.05861283615
50,7919,1g,UseSerialGC,0.00349918,0.0036322,0.003789,0.00385256,0.003944436,0.004030448,0.004453622,0.0208256964,0.0247213982,0.04716442016
50,7919,4g,UseConcMarkSweepGC,0.01392647,0.0146663,0.01537019,0.01564825,0.016487832,0.017280628,0.0190753705,0.0279858847,0.03353787225,0.06344259829
50,7919,4g,UseG1GC,0.00405778,0.00424755,0.00484296,0.004964155,0.022144558,0.029561395,0.037987457,0.0421798102,0.0447184051,0.04674928102
50,7919,4g,UseParallelGC,0.0020954,0.002194,0.00234034,0.00238817,0.002522432,0.008100212,0.011594923,0.0444353054,0.0601750593,0.07439261186
50,7919,4g,UseSerialGC,0.00374596,0.00387995,0.00403788,0.00410017,0.004213674,0.00463616,0.015233906,0.0379929469,0.0772138087,0.1545842817
100,541,100m,UseConcMarkSweepGC,0.0013426,0.001601,0.0019317,0.0020103,0.0021147,0.002302316,0.002696404,0.005136732,0.0075217856,0.02094726128
100,541,100m,UseG1GC,0.00227381,0.0024148,0.0028693,0.0029424,0.003073466,0.003504007,0.0038923095,0.0083384224,0.01258300285,0.0791619445
100,541,100m,UseParallelGC,0.0018595,0.0020568,0.0023153,0.00241116,0.002593172,0.002811612,0.002988724,0.0073582776,0.0431498752,0.04552772096
100,541,100m,UseSerialGC,0.0024425,0.0027443,0.0031465,0.003242505,0.003463584,0.003586584,0.0037031,0.0058885967,0.0079604552,0.06861775765
100,541,200m,UseConcMarkSweepGC,0.0017126,0.001888,0.0022235,0.00231707,0.002512508,0.002943048,0.0033105565,0.0073154345,0.0108770931,0.0280805137
100,541,200m,UseG1GC,0.002548,0.0026684,0.00312604,0.00319854,0.003296328,0.003492932,0.004076014,0.0096011852,0.0175822662,0.03127478464
100,541,200m,UseParallelGC,0.0023144,0.0024551,0.0026656,0.0027588,0.002996184,0.00318051,0.003305665,0.0057361034,0.0080296086,0.0133299941
100,541,200m,UseSerialGC,0.0034645,0.00359345,0.0037382,0.0037923,0.00386753,0.003943665,0.0040670825,0.007415569,0.0088614435,0.0146222615
100,541,500m,UseConcMarkSweepGC,0.0026672,0.0027923,0.00328116,0.00338918,0.003580444,0.00389724,0.004384472,0.0077810068,0.0123723996,0.04518482384
100,541,500m,UseG1GC,0.0028718,0.0030126,0.0034956,0.003579525,0.0037107,0.00400944,0.004748975,0.0236990365,0.026454505,0.04284321355
100,541,500m,UseParallelGC,0.0022289,0.0023191,0.0025148,0.002590975,0.00275543,0.00305564,0.003180975,0.00785582,0.01188348275,0.02736221315
100,541,500m,UseSerialGC,0.0037274,0.00384415,0.0039977,0.004059615,0.0041515,0.004263031,0.0044553815,0.0087191822,0.01316907805,0.02521816641
100,541,1g,UseConcMarkSweepGC,0.0048525,0.0050174,0.00524929,0.005361965,0.005791308,0.006216289,0.006963485,0.0125983271,0.0212857151,0.05961434246
100,541,1g,UseG1GC,0.00321602,0.0033826,0.00392718,0.00402158,0.004262856,0.004654844,0.00584257,0.022646318,0.0382162772,0.05461623792
100,541,1g,UseParallelGC,0.0022245,0.0023475,0.0026258,0.0027168,0.002856356,0.002948528,0.003158676,0.0141440268,0.0219192178,0.0414533984
100,541,1g,UseSerialGC,0.00364652,0.0037637,0.00391268,0.00397208,0.004067208,0.004181466,0.004480345,0.014520066,0.0225476014,0.03427498628
100,541,4g,UseConcMarkSweepGC,0.0141159,0.0148398,0.015538,0.0157893,0.01625002,0.01683142,0.018491275,0.027478526,0.0329291185,0.0634693197
