Concurrency,Message Size,Heap Size,Garbage Collector,per10_latency (s),per50_latency (s),per90_latency (s),per95_latency (s),per98_latency (s),per99_latency (s),per99.5_latency (s),per99.9_latency (s),per99.95_latency (s),per99.99_latency (s)
50,1024,1g,UseParallelGC,0.0022479,0.0023765,0.0026066,0.00270602,0.002960892,0.0031214,0.003380338,0.0095590368,0.0139943894,0.03499751872
50,1024,1g,UseSerialGC,0.00361306,0.0037968,0.00404858,0.0041448,0.00428004,0.004386708,0.004545759,0.0149786996,0.0164457889,0.04471225956
50,1024,4g,UseConcMarkSweepGC,0.01419014,0.0148808,0.01559532,0.01595456,0.01667658,0.017460358,0.019102501,0.0282770936,0.0339468738,0.0562504968
50,1024,4g,UseG1GC,0.0043788,0.00462025,0.0052588,0.0053798,0.00565357,0.022225235,0.0314288125,0.042308249,0.04314934375,0.04364514875
50,1024,4g,UseParallelGC,0.0022915,0.0024807,0.00273038,0.00280068,0.002936204,0.003255512,0.010867104,0.0269604808,0.0423663608,0.07279955368
50,1024,4g,UseSerialGC,0.00403804,0.0042581,0.0045659,0.00467773,0.0048428,0.005019976,0.00570634,0.0229348448,0.031648055,0.1499015309
50,10240,100m,UseConcMarkSweepGC,0.001431,0.001826,0.00249137,0.0028884,0.0036323,0.004034387,0.0046313045,0.0084359979,0.01542951205,0.01851723007
50,10240,100m,UseG1GC,0.0022625,0.0027508,0.00350764,0.0038424,0.004550644,0.005415684,0.006285872,0.0079945104,0.0133868188,0.168733056
50,10240,100m,UseParallelGC,0.0019172,0.002225,0.0026595,0.0028486,0.003357332,0.004625,0.04378262,0.0467967192,0.0478088328,0.05051343216
50,10240,100m,UseSerialGC,0.002306,0.0027878,0.003406,0.0036088,0.0038508,0.004035677,0.004247818,0.0056983803,0.0072560737,0.07413237675
50,10240,200m,UseConcMarkSweepGC,0.0018592,0.002294,0.0028184,0.00299212,0.0032182,0.003417008,0.00364131,0.0050248948,0.006163016,0.01263150848
50,10240,200m,UseG1GC,0.00254099,0.0029758,0.0036172,0.0038052,0.004092104,0.004473206,0.005263609,0.0076617032,0.01112330185,0.06344339453
50,10240,200m,UseParallelGC,0.0023475,0.0027551,0.00327407,0.00346337,0.003720142,0.004015257,0.0048737445,0.0453659843,0.0465302077,0.04880209626
50,10240,200m,UseSerialGC,0.00343105,0.0038789,0.0044358,0.004617775,0.00482783,0.004996755,0.0051778475,0.0061079335,0.00667793325,0.0107719507
50,10240,500m,UseConcMarkSweepGC,0.0027606,0.0032416,0.00382812,0.0040193,0.00427876,0.004496884,0.004784312,0.0060382002,0.0075169556,0.02636250936
50,10240,500m,UseG1GC,0.0031731,0.0036512,0.00426302,0.00450004,0.004854724,0.005261392,0.006267938,0.0112698548,0.0160164478,0.03569024296
50,10240,500m,UseParallelGC,0.00275902,0.0035655,0.00445778,0.00472156,0.004969776,0.005177796,0.00539067,0.0085656064,0.0165020572,0.05140993444
50,10240,500m,UseSerialGC,0.0038462,0.0042438,0.0047639,0.004934665,0.005153244,0.005327786,0.005568276,0.0070520741,0.0076900747,0.01918385526
50,10240,1g,UseConcMarkSweepGC,0.0049316,0.005311,0.00592444,0.00620364,0.00666845,0.007245947,0.007866205,0.0112168851,0.01541797105,0.02738254174
50,10240,1g,UseG1GC,0.003688,0.004253,0.0051202,0.00552265,0.00617644,0.00693127,0.009101255,0.026519749,0.031369387,0.036930075
50,10240,1g,UseParallelGC,0.00273431,0.0031328,0.0036887,0.0038809,0.00414712,0.004404074,0.004744436,0.0078734527,0.01303778205,0.03415826508
